text,label,hypothesis,augmented_text
A man inspects the uniform of a figure in some East Asian country.,contradiction,The man is sleeping,Also a man inspects the uniform of a figure in some East Asian country.
A man inspects the uniform of a figure in some East Asian country.,contradiction,The man is sleeping,A man inspects the uniform of a figure in some East Asian country.
A man inspects the uniform of a figure in some East Asian country.,contradiction,The man is sleeping,A man inspects the uniform of a figure in some East Asian country anyway.
An older and younger man smiling.,neutral,Two men are smiling and laughing at the cats playing on the floor.,An older and younger man smiling.
An older and younger man smiling.,neutral,Two men are smiling and laughing at the cats playing on the floor.,An older and younger man smiling basically.
An older and younger man smiling.,neutral,Two men are smiling and laughing at the cats playing on the floor.,Actually an older and younger man smiling.
A black race car starts up in front of a crowd of people.,contradiction,A man is driving down a lonely road.,A black race car starts up in front of a crowd of people.
A black race car starts up in front of a crowd of people.,contradiction,A man is driving down a lonely road.,Also a black race car starts up in front of a crowd of people.
A black race car starts up in front of a crowd of people.,contradiction,A man is driving down a lonely road.,A black race car starts up in front of a crowd of people anyway.
A soccer game with multiple males playing.,entailment,Some men are playing a sport.,Actually a soccer game with multiple males playing.
A soccer game with multiple males playing.,entailment,Some men are playing a sport.,A soccer game with multiple males playing basically.
A soccer game with multiple males playing.,entailment,Some men are playing a sport.,A soccer game with multiple males playing.
A smiling costumed woman is holding an umbrella.,neutral,A happy woman in a fairy costume holds an umbrella.,Also a smiling costumed woman is holding an umbrella.
A smiling costumed woman is holding an umbrella.,neutral,A happy woman in a fairy costume holds an umbrella.,A smiling costumed woman is holding an umbrella.
A smiling costumed woman is holding an umbrella.,neutral,A happy woman in a fairy costume holds an umbrella.,A smiling costumed woman is holding an umbrella anyway.
